-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2023 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
TS     MERRA-2 Earth Skin Temperature (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
TS,2023,-18.5,-41.25,24.46,26.63,28.14,26.43,24.04,23.18,22.62,24.59,26.66,29.29,30.41,30.03,26.37
TS,2023,-18.5,-41.875,24.91,27.07,29.5,27.39,25.12,24.16,23.78,26.03,28.61,31.13,31.93,31.72,27.61
TS,2023,-18.5,-42.5,23.22,24.32,26.17,25.38,23.09,21.91,21.8,24.09,26.67,29.12,29.2,29.08,25.34
TS,2023,-18.5,-43.125,22.01,22.8,24.11,24.33,21.87,20.57,20.79,22.95,25.61,27.79,27.87,27.51,24.02
TS,2023,-18.5,-43.75,20.7,21.65,22.17,23.03,20.69,19.31,19.79,21.91,25.08,26.44,27.1,26.48,22.86
TS,2023,-18.5,-44.375,23.48,25.09,26.74,26.73,24.51,23.37,23.56,26.14,29.72,30.01,30.15,30.66,26.68
TS,2023,-18.5,-45.0,24.32,26.09,26.67,26.25,23.96,22.66,23.37,25.91,29.68,30.04,30.23,30.44,26.63
TS,2023,-18.5,-45.625,23.98,25.75,26.43,25.78,23.4,21.99,22.85,25.5,29.62,30.15,29.67,30.14,26.27
TS,2023,-18.5,-46.25,22.48,23.72,23.16,22.67,20.74,19.51,20.72,23.83,28.18,28.09,28.86,28.13,24.17
TS,2023,-18.5,-46.875,22.4,23.35,22.6,21.99,20.3,19.26,20.52,23.62,27.86,27.39,28.54,27.81,23.8
TS,2023,-18.5,-47.5,23.51,24.22,23.52,22.98,21.1,20.16,21.57,24.61,28.75,28.27,29.46,28.94,24.76
TS,2023,-18.5,-48.125,24.18,24.82,24.3,24.02,21.78,20.63,22.18,25.22,29.3,29.33,29.67,29.39,25.4
TS,2023,-18.5,-48.75,24.15,24.8,24.05,23.35,20.13,19.38,21.35,24.77,29.14,30.36,29.89,29.62,25.08
TS,2023,-19.0,-41.25,25.02,27.48,29.22,26.83,24.68,23.88,22.97,25.07,27.21,29.87,30.89,30.74,26.98
TS,2023,-19.0,-41.875,24.89,26.92,29.61,27.16,24.74,24.01,23.39,25.77,28.16,30.7,31.51,31.48,27.36
TS,2023,-19.0,-42.5,23.56,24.57,26.61,25.75,23.24,22.4,22.19,24.52,27.05,29.28,29.6,29.77,25.72
TS,2023,-19.0,-43.125,22.63,23.42,24.76,25.19,22.53,21.45,21.69,23.85,26.68,28.72,29.13,28.87,24.91
TS,2023,-19.0,-43.75,21.41,22.43,23.33,23.84,21.72,20.32,20.56,22.82,26.24,27.57,28.17,27.54,23.83
TS,2023,-19.0,-44.375,23.2,24.38,25.27,25.58,23.65,22.55,23.0,25.57,29.18,29.75,29.54,29.87,25.97
TS,2023,-19.0,-45.0,24.23,25.45,25.79,25.59,23.16,22.08,23.13,25.72,29.48,30.0,29.57,30.16,26.2
TS,2023,-19.0,-45.625,23.56,24.62,24.55,24.59,22.07,21.17,22.48,25.31,29.18,29.48,28.98,29.87,25.49
TS,2023,-19.0,-46.25,22.1,22.99,22.23,21.73,19.85,18.78,20.32,23.55,27.78,27.46,27.62,27.83,23.52
TS,2023,-19.0,-46.875,22.2,22.81,21.93,21.01,18.66,17.9,19.51,22.84,27.48,26.74,27.82,27.34,23.02
TS,2023,-19.0,-47.5,22.38,22.83,22.38,21.42,19.25,18.34,19.78,23.02,27.71,26.71,28.1,27.57,23.29
TS,2023,-19.0,-48.125,22.7,23.2,22.85,22.14,19.89,18.67,20.51,23.53,28.19,27.89,28.28,27.73,23.8
TS,2023,-19.0,-48.75,23.28,23.81,23.36,22.47,19.79,18.75,21.07,24.39,29.13,30.18,30.0,29.01,24.6
TS,2023,-19.5,-41.25,24.77,27.05,28.8,26.53,23.95,23.34,22.46,24.42,26.94,29.19,30.33,30.11,26.48
TS,2023,-19.5,-41.875,23.94,25.7,28.08,26.01,23.15,22.59,21.99,24.25,26.69,28.99,30.06,29.83,25.94
TS,2023,-19.5,-42.5,23.56,24.55,26.62,25.78,22.83,22.34,22.22,24.44,26.95,29.02,29.65,29.77,25.65
TS,2023,-19.5,-43.125,22.3,23.18,24.34,24.66,21.8,20.69,21.26,23.43,26.18,28.08,28.68,28.39,24.42
TS,2023,-19.5,-43.75,21.64,22.64,23.61,23.82,21.63,20.08,20.69,23.09,26.44,27.35,28.21,27.77,23.92
TS,2023,-19.5,-44.375,22.61,23.77,24.12,24.22,22.2,21.2,22.04,24.62,28.26,28.5,28.56,28.83,24.91
TS,2023,-19.5,-45.0,23.37,24.36,24.23,24.09,21.71,20.86,22.4,25.19,28.96,29.02,28.67,29.2,25.17
TS,2023,-19.5,-45.625,23.32,24.17,23.7,23.44,20.78,19.81,21.89,24.94,28.9,29.15,28.23,29.15,24.79
TS,2023,-19.5,-46.25,21.72,22.47,21.68,20.91,18.75,17.97,19.99,23.19,27.45,26.84,26.55,27.09,22.88
TS,2023,-19.5,-46.875,21.98,22.34,21.59,20.32,17.64,17.22,19.05,22.72,27.41,26.23,27.04,27.04,22.55
TS,2023,-19.5,-47.5,22.15,22.39,21.9,20.65,17.74,16.81,18.57,21.94,26.91,25.91,27.1,26.68,22.39
TS,2023,-19.5,-48.125,23.03,23.34,23.12,21.88,19.34,18.19,20.21,23.62,28.52,27.88,28.71,27.74,23.8
TS,2023,-19.5,-48.75,23.69,24.17,23.89,22.87,20.43,19.0,21.33,24.86,29.43,30.1,29.99,29.45,24.94
TS,2023,-20.0,-41.25,23.35,24.81,26.32,24.53,21.64,21.28,20.64,22.6,25.15,27.21,28.32,27.79,24.46
TS,2023,-20.0,-41.875,22.69,24.08,25.92,24.03,21.1,20.47,20.2,22.36,25.02,27.08,28.18,27.72,24.07
